nohup: ignoring input
synthetic_22.txt 121336 version: v1
synthetic_107.txt 225474 version: v1
synthetic_30.txt 2282117 version: v1
synthetic_32.txt 69150 version: v1
synthetic_124.txt 152432 version: v1
e_so_many_books.txt 5062439 version: v2
appalachian_regional_project.txt 78464 version: v2
synthetic_132.txt 1476857 version: v2
synthetic_64.txt 94393 version: v3
synthetic_79.txt 93566 version: v3
synthetic_123.txt 184593 version: v3
synthetic_58.txt 33127 version: v4
synthetic_133.txt 9977291 version: v4
synthetic_84.txt 78976 version: v4
synthetic_8.txt 213202 version: v4
synthetic_57.txt 81047 version: v5
synthetic_111.txt 963371 version: v5
synthetic_138.txt 197496 version: v5
synthetic_76.txt 223621 version: v5
synthetic_129.txt 65748 version: v1
synthetic_21.txt 11430241 version: v1
synthetic_120.txt 187715 version: v1
synthetic_16.txt 30581672 version: v1
internet_archive_bulk_scanning.txt 14967982 version: v2
synthetic_77.txt 10033866 version: v2
synthetic_113.txt 47211 version: v3
synthetic_19.txt 129044 version: v3
internet_archive_bulk_scanning.txt 14967982 version: v3
synthetic_30.txt 2282117 version: v3
synthetic_112.txt 169254 version: v3
vatican_secret_archives_project.txt 2544059 version: v3
synthetic_78.txt 1172441 version: v3
synthetic_10.txt 17463 version: v4
synthetic_94.txt 2870318 version: v4
synthetic_135.txt 217206 version: v4
synthetic_17.txt 108058 version: v5
synthetic_63.txt 18869599 version: v5
synthetic_56.txt 956107 version: v5
synthetic_67.txt 6651708 version: v1
synthetic_46.txt 26857717 version: v1
synthetic_59.txt 104400 version: v2
synthetic_94.txt 2870318 version: v2
synthetic_13.txt 208710 version: v2
synthetic_38.txt 247504 version: v2
synthetic_67.txt 6651708 version: v3
synthetic_24.txt 11035511 version: v3
synthetic_53.txt 291277 version: v3
e_so_many_books.txt 5061208 version: v4
synthetic_82.txt 93157 version: v4
synthetic_20.txt 29609807 version: v4
synthetic_40.txt 236992 version: v5
synthetic_114.txt 107503 version: v5
synthetic_28.txt 144799 version: v5
synthetic_72.txt 104862 version: v5
synthetic_77.txt 10033866 version: v5
synthetic_40.txt 236992 version: v1
synthetic_118.txt 66979 version: v1
synthetic_31.txt 127202 version: v1
synthetic_44.txt 280437 version: v1
synthetic_22.txt 121336 version: v2
synthetic_96.txt 366595 version: v2
synthetic_95.txt 171405 version: v2
synthetic_131.txt 308804 version: v2
synthetic_66.txt 5527961 version: v2
synthetic_110.txt 3349547 version: v3
synthetic_56.txt 956107 version: v3
synthetic_91.txt 2362312 version: v4
d_tough_choices.txt 5028530 version: v4
c_incunabula.txt 5689822 version: v1
synthetic_65.txt 132057 version: v1
synthetic_123.txt 184593 version: v1
synthetic_34.txt 6065254 version: v2
synthetic_26.txt 226322 version: v2
synthetic_102.txt 92691 version: v2
synthetic_52.txt 154127 version: v3
synthetic_10.txt 17463 version: v3
synthetic_94.txt 2870318 version: v3
synthetic_2.txt 20774343 version: v3
synthetic_34.txt 6065254 version: v4
synthetic_15.txt 49747 version: v4
synthetic_52.txt 154127 version: v5
synthetic_133.txt 9977291 version: v5
synthetic_25.txt 244295 version: v5
synthetic_110.txt 3349547 version: v1
synthetic_20.txt 29609807 version: v1
synthetic_113.txt 47211 version: v2
synthetic_129.txt 65748 version: v2
synthetic_70.txt 249881 version: v2
synthetic_111.txt 963371 version: v2
synthetic_68.txt 268333 version: v2
synthetic_46.txt 26857717 version: v2
synthetic_14.txt 17852 version: v3
synthetic_63.txt 18869599 version: v3
synthetic_103.txt 2933849 version: v3
synthetic_9.txt 1862373 version: v3
synthetic_64.txt 94393 version: v4
synthetic_79.txt 93566 version: v4
synthetic_54.txt 13231364 version: v4
synthetic_39.txt 232545 version: v5
appalachian_regional_project.txt 78464 version: v5
synthetic_37.txt 15876 version: v5
synthetic_123.txt 184593 version: v5
synthetic_12.txt 28417188 version: v1
synthetic_56.txt 956107 version: v1
synthetic_137.txt 129405 version: v2
synthetic_55.txt 65074 version: v2
synthetic_106.txt 41693379 version: v2
synthetic_60.txt 18651743 version: v2
synthetic_115.txt 345277 version: v3
synthetic_69.txt 79479 version: v3
synthetic_127.txt 100386 version: v3
synthetic_38.txt 247504 version: v3
c_incunabula.txt 5689822 version: v4
synthetic_26.txt 226322 version: v4
vatican_secret_archives_project.txt 2544059 version: v4
f_libraries_of_the_world.txt 5348248 version: v4
synthetic_41.txt 3884976 version: v5
synthetic_88.txt 115353 version: v5
synthetic_81.txt 211648 version: v5
synthetic_59.txt 104400 version: v1
synthetic_111.txt 963371 version: v1
synthetic_105.txt 8490974 version: v1
synthetic_6.txt 82908 version: v1
synthetic_14.txt 17852 version: v2
oxford_bodleian_archives.txt 7979867 version: v2
synthetic_79.txt 93566 version: v2
f_libraries_of_the_world.txt 5348248 version: v2
synthetic_118.txt 66979 version: v3
synthetic_31.txt 127202 version: v3
synthetic_44.txt 280437 version: v3
synthetic_17.txt 108058 version: v4
synthetic_48.txt 231592 version: v4
synthetic_41.txt 3884976 version: v4
synthetic_88.txt 115353 version: v4
synthetic_124.txt 152432 version: v4
synthetic_22.txt 121336 version: v5
c_incunabula.txt 5689822 version: v5
synthetic_116.txt 27869014 version: v5
synthetic_75.txt 140755 version: v1
synthetic_1.txt 267587 version: v1
synthetic_15.txt 49747 version: v1
synthetic_49.txt 105309 version: v2
synthetic_12.txt 28417188 version: v2
synthetic_23.txt 261720 version: v2
synthetic_9.txt 1862373 version: v2
synthetic_1.txt 267587 version: v3
synthetic_15.txt 49747 version: v3
synthetic_49.txt 105309 version: v4
synthetic_93.txt 103408 version: v4
synthetic_117.txt 15959081 version: v4
synthetic_66.txt 5527961 version: v4
synthetic_58.txt 33127 version: v5
synthetic_136.txt 186737 version: v5
synthetic_106.txt 41693379 version: v5
